train_id,date,feed_mode,gas_mw,diene_ppm,throughput_tph
CGC-100A,2024-01-01,mixed,26.000625,110.10416666666667,256.63124999999997
CGC-100A,2024-01-02,mixed,25.992874999999998,109.74583333333334,259.07875
CGC-100A,2024-01-03,mixed,26.05304166666667,107.64999999999999,258.8929166666667
CGC-100A,2024-01-04,mixed,25.98391666666667,109.07083333333333,256.35875
CGC-100A,2024-01-05,mixed,25.989708333333336,111.3875,255.3658333333333
CGC-100A,2024-01-06,mixed,25.917583333333337,110.15416666666665,254.93666666666664
CGC-100A,2024-01-07,mixed,25.9825,112.67083333333333,257.2916666666667
CGC-100A,2024-01-08,mixed,25.995416666666667,108.77916666666665,261.24208333333337
CGC-100A,2024-01-09,mixed,25.875249999999998,105.3125,261.97499999999997
CGC-100A,2024-01-10,mixed,25.967875000000003,111.90416666666665,262.41
CGC-100A,2024-01-11,mixed,26.097166666666666,109.07916666666667,260.8020833333333
CGC-100A,2024-01-12,mixed,26.12575,114.0,258.0679166666667
CGC-100A,2024-01-13,mixed,25.93625,109.96666666666665,257.81041666666664
CGC-100A,2024-01-14,mixed,25.905124999999998,107.58333333333333,259.675
CGC-100A,2024-01-15,mixed,26.031125,110.83333333333333,262.00916666666666
CGC-100A,2024-01-16,mixed,25.9275,112.74583333333334,264.24625
CGC-100A,2024-01-17,mixed,25.904833333333332,109.14166666666667,262.7675
CGC-100A,2024-01-18,mixed,26.105583333333332,111.125,261.1691666666667
CGC-100A,2024-01-19,mixed,26.115708333333334,108.75416666666666,258.06416666666667
CGC-100A,2024-01-20,mixed,25.939375,109.56666666666666,257.4458333333333
CGC-100A,2024-01-21,mixed,26.089166666666667,109.45833333333333,259.01458333333335
CGC-100A,2024-01-22,mixed,26.043666666666667,110.1125,261.02500000000003
CGC-100A,2024-01-23,mixed,26.072333333333333,105.39583333333333,262.97125
CGC-100A,2024-01-24,mixed,26.041208333333334,110.59583333333335,261.1095833333333
CGC-100A,2024-01-25,mixed,26.00191666666667,111.7375,259.06
CGC-100A,2024-01-26,mixed,25.978166666666667,106.575,255.98333333333335
CGC-100A,2024-01-27,mixed,25.957916666666666,107.8125,253.67708333333334
CGC-100A,2024-01-28,mixed,26.024291666666667,109.96249999999999,254.98416666666665
CGC-100A,2024-01-29,mixed,26.025375,108.325,257.06125000000003
CGC-100A,2024-01-30,mixed,25.93495833333333,108.54583333333333,258.11125
CGC-100A,2024-01-31,mixed,26.09166666666667,109.67916666666667,256.62208333333336
CGC-100A,2024-02-01,mixed,26.035208333333333,112.39583333333333,254.18791666666667
CGC-100A,2024-02-02,mixed,26.0555,112.02083333333333,250.65166666666664
CGC-100A,2024-02-03,mixed,25.871666666666666,109.1375,250.27874999999997
CGC-100A,2024-02-04,mixed,25.989166666666666,109.20833333333333,250.80583333333334
CGC-100A,2024-02-05,mixed,26.019499999999997,109.325,253.00541666666666
CGC-100A,2024-02-06,mixed,25.936833333333336,109.82916666666667,253.70291666666665
CGC-100A,2024-02-07,mixed,26.001458333333332,107.6375,253.08833333333334
CGC-100A,2024-02-08,mixed,26.074458333333336,110.58333333333333,250.36791666666667
CGC-100A,2024-02-09,mixed,25.98045833333333,113.91250000000001,247.71041666666667
CGC-100A,2024-02-10,mixed,25.939333333333334,114.425,246.43458333333334
CGC-100A,2024-02-11,mixed,26.007125000000002,106.875,248.7725
CGC-100A,2024-02-12,mixed,25.970041666666663,108.35000000000001,249.9779166666667
CGC-100A,2024-02-13,mixed,25.94458333333333,108.47916666666667,251.51666666666665
CGC-100A,2024-02-14,mixed,26.034958333333336,111.15416666666665,251.43541666666667
CGC-100A,2024-02-15,mixed,25.97,110.22916666666667,249.84625000000003
